Sender;Sender ID;Recipient;Recipient ID;Date start;Date end;Metadata source;URL
Isaac Beeckman;7807076;Marin Mersenne;7584584;03-1629;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=beec002/0013
Isaac Beeckman;7807076;Marin Mersenne;7584584;06-1629;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=beec002/0015
Isaac Beeckman;7807076;Marin Mersenne;7584584;01-10-1629;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=beec002/0018
Isaac Beeckman;7807076;Marin Mersenne;7584584;07-10-1631;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=beec002/0023
Constantijn Huygens;7807069;Jacob Golius;7807199;07-04-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0676
Jacob Golius;7807199;Constantijn Huygens;7807069;16-04-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0677
David le Leu de Wilhem;7807253;Constantijn Huygens;7807069;04-06-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0683
Constantijn Huygens;7807069;David le Leu de Wilhem;7807253;19-09-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0712
Constantijn Huygens;7807069;Jacob Golius;7807199;21-10-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0722
Jacob Golius;7807199;Constantijn Huygens;7807069;01-11-1632;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/0730
Henricus Reneri;7568881;Constantijn Huygens;7807069;14-04-1635;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1109
Abraham de Mory;7807388;Constantijn Huygens;7807069;16-07-1636;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1407
Pierre de Fermat;7584740;Marin Mersenne;7584584;04-1637;05-1637;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=desc004/1098
Hugo de Groot;7807075;Nicolas-Claude Fabry de Peiresc;7807131;22-05-1637;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=groo001/3089
Anthony Studler van Surck;8100268;Constantijn Huygens;7807069;17-08-1637;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1643
Pierre de Fermat;7584740;Marin Mersenne;7584584;11-1637;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=desc004/2126
Alphonse Pollot;7582261;Constantijn Huygens;7807069;30-01-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1792
David le Leu de Wilhem;7807253;Constantijn Huygens;7807069;05-06-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1841
Constantijn Huygens;7807069;Erycius Puteanus;7807085;25-06-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1860
Constantijn Huygens;7807069;Daniël Heinsius;7807080;30-06-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/1867
Hugo de Groot;7807075;Samson Johnson;7807331;30-09-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=groo001/3781
Florimond Debeaune;7807514;Marin Mersenne;7584584;13-11-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=desc004/3183
Erycius Puteanus;7807085;Constantijn Huygens;7807069;14-12-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/2009
Constantijn Huygens;7807069;Erycius Puteanus;7807085;23-12-1638;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/2014
Florimond Debeaune;7807514;Marin Mersenne;7584584;03-04-1639;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=desc004/3197
Constantijn Huygens;7807069;Jan Albert Ban;9911049;26-08-1639;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/2214
Constantijn Huygens;7807069;Marin Mersenne;7584584;26-08-1639;;ePistolarium;http://ckcc.huygens.knaw.nl/epistolarium/letter.html?id=huyg001/2215
